plate_number,category,details,date_added
ABC123,expired_inspection,Technical inspection expired on 2023-08-15,2024-01-10
XYZ789,stolen,Reported stolen from Tallinn on 2023-12-20,2023-12-21
DEF456,blacklisted,Multiple unpaid parking fines totaling €450,2024-02-15
GHI789,wanted,Connected to hit-and-run investigation,2024-03-01
JKL012,expired_inspection,Inspection expired on 2023-09-30,2024-01-15
MNO345,blacklisted,Unpaid speeding tickets,2024-02-20
PQR678,stolen,Reported stolen from Tartu on 2024-01-05,2024-01-06
STU901,wanted,Suspected in robbery case,2024-03-10
VWX234,expired_inspection,Inspection expired on 2023-07-22,2023-12-01
YZA567,blacklisted,Owner has suspended license,2024-02-28
BCD890,stolen,Reported stolen from Pärnu on 2023-11-15,2023-11-16
EFG123,wanted,Wanted for questioning in fraud case,2024-03-15
HIJ456,expired_inspection,Inspection expired on 2023-10-10,2024-01-20
KLM789,blacklisted,Vehicle registration suspended,2024-03-05
NOP012,stolen,Reported stolen from Narva on 2024-02-01,2024-02-02
QRS345,wanted,Connected to drug trafficking investigation,2024-03-20
TUV678,expired_inspection,Inspection expired on 2023-06-18,2023-11-25
WXY901,blacklisted,Multiple traffic violations,2024-02-10
ZAB234,stolen,Reported stolen from Viljandi on 2023-12-10,2023-12-11
CDE567,wanted,Wanted in connection with assault,2024-03-25
